KakaoTalk Chats with 아기공주민희❤
Date Saved : July 3, 2020, 2:12 p.m.


July 19, 2019, 1:20 a.m., 아기공주민희❤ : 남자친구 ㅎㅎ
July 19, 2019, 1:21 a.m., you : 혼자먹는구나
July 19, 2019, 1:21 a.m., you : 힘내
July 19, 2019, 1:21 a.m., you : ..
July 19, 2019, 1:21 a.m., 아기공주민희❤ : 예?
July 19, 2019, 1:21 a.m., 아기공주민희❤ : 잔 두개 안보여요?
July 19, 2019, 1:21 a.m., you : 왼손 오른손인가
July 19, 2019, 1:21 a.m., 아기공주민희❤ : 왼손 오른손
July 19, 2019, 1:21 a.m., 아기공주민희❤ : 오 맞았어요
July 19, 2019, 1:21 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:21 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:21 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:21 a.m., 아기공주민희❤ : 준희랑 마십니다
July 19, 2019, 1:21 a.m., you : 혼자술먹으면
July 19, 2019, 1:21 a.m., you : 취해
July 19, 2019, 1:21 a.m., 아기공주민희❤ : ^^
July 19, 2019, 1:21 a.m., you : 아 사람이랑먹네
July 19, 2019, 1:21 a.m., you : ㅜㅜㅠ
July 19, 2019, 1:22 a.m., you : 술먹고싶다나도ㅜㅠ
July 19, 2019, 1:23 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:23 a.m., 아기공주민희❤ : 아주 좋습니다
July 19, 2019, 1:23 a.m., 아기공주민희❤ : 기분쵴오
July 19, 2019, 1:28 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ술꾼이네민희ㅜㅠ
July 19, 2019, 1:28 a.m., you : 와 근데 99가 이제 3학년이래
July 19, 2019, 1:28 a.m., you : 징그러
July 19, 2019, 1:28 a.m., you : 9월에 01들어오는거자나
July 19, 2019, 1:28 a.m., you : 으으
July 19, 2019, 1:28 a.m., 아기공주민희❤ : 저 2학년입니다
July 19, 2019, 1:28 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:29 a.m., 아기공주민희❤ : 으으
July 19, 2019, 1:29 a.m., you : 신입생 이뻐요?
July 19, 2019, 1:29 a.m., 아기공주민희❤ : 이쁘면
July 19, 2019, 1:29 a.m., 아기공주민희❤ : 어쩌게요
July 19, 2019, 1:29 a.m., you : 학교다니게
July 19, 2019, 1:29 a.m., you : ...
July 19, 2019, 1:29 a.m., you : 수업도 그구
July 19, 2019, 1:29 a.m., you : 가구
July 19, 2019, 1:29 a.m., you : ㅎㅎㅎㅎㅎㅎ
July 19, 2019, 1:29 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:29 a.m., 아기공주민희❤ : 그런다고
July 19, 2019, 1:29 a.m., 아기공주민희❤ : 갈거같아요?
July 19, 2019, 1:30 a.m., you : ㅇㅈ
July 19, 2019, 1:30 a.m., you : 안가지
July 19, 2019, 1:30 a.m., you : 술만마시러가겠지
July 19, 2019, 1:30 a.m., you : ㅍㅎㅎㅎㅎㅎ
July 19, 2019, 1:31 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:31 a.m., 아기공주민희❤ : 인정
July 19, 2019, 1:32 a.m., 아기공주민희❤ : 학교 왜갑니까
July 19, 2019, 1:32 a.m., you : 때려쳐~~~ 안가~
July 19, 2019, 1:32 a.m., you : 6학년인데 곧
July 19, 2019, 1:32 a.m., you : 하
July 19, 2019, 1:35 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:36 a.m., 아기공주민희❤ : 곧 졸업하지않어여?
July 19, 2019, 1:41 a.m., you : 03년생들어오는거보고졸업할라구!
July 19, 2019, 1:41 a.m., you : ㅎㅎㅎㅎㅎㅎ
July 19, 2019, 1:42 a.m., you : Emoticons
July 19, 2019, 1:42 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ난 10보고 졸업해야지
July 19, 2019, 1:42 a.m., 아기공주민희❤ : Emoticons
July 19, 2019, 1:45 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:45 a.m., you : 이모뻘인걸
July 19, 2019, 1:46 a.m., 아기공주민희❤ : 나 이모해볼라구여
July 19, 2019, 1:46 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:48 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ비주얼은 합격!
July 19, 2019, 1:48 a.m., 아기공주민희❤ : 예???
July 19, 2019, 1:48 a.m., you : 민희이제 99로안보지
July 19, 2019, 1:48 a.m., 아기공주민희❤ : 상처입니다^^
July 19, 2019, 1:48 a.m., you : 늙었누
July 19, 2019, 1:48 a.m., you : ㅠㅜㅠㅠㅠ
July 19, 2019, 1:48 a.m., 아기공주민희❤ : 그럼 00?
July 19, 2019, 1:48 a.m., you : 자
July 19, 2019, 1:48 a.m., you : 그냥 자
July 19, 2019, 1:49 a.m., 아기공주민희❤ : 싫습니다
July 19, 2019, 1:49 a.m., 아기공주민희❤ : 빨리 말해봐여
July 19, 2019, 1:49 a.m., you : 저거 두병 다먹구잘거야?
July 19, 2019, 1:49 a.m., you : 몰라...
July 19, 2019, 1:49 a.m., you : 97..?
July 19, 2019, 1:51 a.m., 아기공주민희❤ : 이미 반밖에 안남았어요
July 19, 2019, 1:51 a.m., 아기공주민희❤ : ㅋㅋ
July 19, 2019, 1:51 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:51 a.m., you : 이제 술 쟁여놓고살겠다 ㅎㅎㅎ
July 19, 2019, 1:52 a.m., you : 술먹고픈데 술없을때 ㄹㅇ 젤슬픔 ㅜㅠ
July 19, 2019, 1:53 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ인즈엉
July 19, 2019, 1:53 a.m., 아기공주민희❤ : 한병 더사올껄..
July 19, 2019, 1:53 a.m., you : 인당 두병은 사놔야대ㅜㅠㅠ
July 19, 2019, 1:53 a.m., you : 아 술먹고싶다
July 19, 2019, 1:53 a.m., you : 하
July 19, 2019, 1:53 a.m., 아기공주민희❤ : 미니 알귀란말이에요
July 19, 2019, 1:53 a.m., 아기공주민희❤ : ^^
July 19, 2019, 1:54 a.m., you : 얘도 3인칭이네
July 19, 2019, 1:54 a.m., you : 하
July 19, 2019, 1:54 a.m., 아기공주민희❤ : 미니마니모~~
July 19, 2019, 1:54 a.m., you : 긍대 괜차나 나도 취하면 귀여워짐 ㅎㅎㅎ
July 19, 2019, 1:54 a.m., 아기공주민희❤ : ㅋㅋ
July 19, 2019, 1:54 a.m., you : ?
July 19, 2019, 1:54 a.m., 아기공주민희❤ : 푸하하하하캌ㅋ풉풐
July 19, 2019, 1:54 a.m., you : ㄹㅇ인데
July 19, 2019, 1:54 a.m., you : 나이에안맞게귀여워짐
July 19, 2019, 1:55 a.m., you : 와 진짜 못참겠다ㅜㅠ 술마셔야지..
July 19, 2019, 1:55 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:55 a.m., 아기공주민희❤ : 나랑 마신건 술이 아니였나봐요
July 19, 2019, 1:55 a.m., 아기공주민희❤ : 뭐 마시게요
July 19, 2019, 1:55 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:55 a.m., you : 나 집에 맥주바께없오
July 19, 2019, 1:55 a.m., you : ㅜㅠ
July 19, 2019, 1:56 a.m., you : Photo
July 19, 2019, 1:56 a.m., 아기공주민희❤ : 맥주 두짝?
July 19, 2019, 1:56 a.m., you : 6캔..
July 19, 2019, 1:56 a.m., you : 누구코에붙여이거ㅜㅜ
July 19, 2019, 1:56 a.m., you : 낼 소주사와야디
July 19, 2019, 1:57 a.m., you : ㅎㅎㅎㅎㅎㅎ
July 19, 2019, 1:57 a.m., you : 아 개설레
July 19, 2019, 1:57 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:57 a.m., 아기공주민희❤ : 진짜
July 19, 2019, 1:57 a.m., 아기공주민희❤ : 오빤 알콜중독자야
July 19, 2019, 1:57 a.m., you : 아냐아냐 그냥 술 좋아하는거야
July 19, 2019, 1:57 a.m., you : ㄹㅇ 중독ㅇ
July 19, 2019, 1:57 a.m., you : 아닌가 맞나ㅜㅠ
July 19, 2019, 1:58 a.m., 아기공주민희❤ : 맞습니다
July 19, 2019, 1:58 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:58 a.m., you : 저번에 리퀴어 11시에 닫는데 오늘은 술 안마셔야지~ 하다가 10시 56분에 ㄹㅇ 미친듯이 뛰어가서 술사옴
July 19, 2019, 1:58 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:58 a.m., you : 그때 약간 아 이거 중독일수도있겠다싶었우무ㅜㅠ
July 19, 2019, 1:58 a.m., 아기공주민희❤ : 진짜 오빠도 대단하다
July 19, 2019, 1:58 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:58 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 1:58 a.m., you : 응 너미래 ㅎㅎㅎ
July 19, 2019, 1:59 a.m., 아기공주민희❤ : 전 준비되어있습니다
July 19, 2019, 1:59 a.m., 아기공주민희❤ : 미리미리 사야쥬
July 19, 2019, 2:00 a.m., you : 이따가 모잘라서 찡찡 ㅜㅠ
July 19, 2019, 2:14 a.m., 아기공주민희❤ : 비었습니다
July 19, 2019, 2:14 a.m., 아기공주민희❤ : 시벌
July 19, 2019, 2:14 a.m., you : ㅋㅋㅋㅋㅋㅋㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:14 a.m., you : 시벌ㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:14 a.m., you : 자 이제 서서히 술이 깨기 시작하면서
July 19, 2019, 2:14 a.m., you : 현타가 오지게올겁니다
July 19, 2019, 2:15 a.m., you : 그러면 기분이 더 나빠지고 혹시 아직열려있는 술집이 있나 찾아보지요
July 19, 2019, 2:15 a.m., you : 하지만 없다능걸 깨닳고 지금 당장 술을 마실곳이 1도없다는걸 인지했을때의 그 상실감이란
July 19, 2019, 2:15 a.m., you : 유후에헤
July 19, 2019, 2:15 a.m., you : ㅎㅎㅎㅎㅎㅎㅎ
July 19, 2019, 2:16 a.m., you : 발닦구자면되겠다이제 ㅎㅎㅎㅎ
July 19, 2019, 2:41 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:41 a.m., 아기공주민희❤ : 지금 열어있는 술집이 어딧어요
July 19, 2019, 2:41 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:41 a.m., 아기공주민희❤ : 술 끝???
July 19, 2019, 2:49 a.m., you : 전에는 주전으로 쪼르르 달랴갔는데 ㅜㅠ 이제 술없으면
July 19, 2019, 2:49 a.m., you : 자야대 그냥 ㅠㅠ
July 19, 2019, 2:49 a.m., 아기공주민희❤ : 주전 언제열어요
July 19, 2019, 2:49 a.m., 아기공주민희❤ : 진심
July 19, 2019, 2:49 a.m., 아기공주민희❤ : 슈발레레라
July 19, 2019, 2:49 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:50 a.m., you : 18년 12월에 연다했었는데 첨에
July 19, 2019, 2:50 a.m., you : 이제 그냥 그러려니해..
July 19, 2019, 2:50 a.m., 아기공주민희❤ : 내말이여
July 19, 2019, 2:50 a.m., 아기공주민희❤ : 6월말에연다며
July 19, 2019, 2:50 a.m., 아기공주민희❤ : 7월 다 끝나가여
July 19, 2019, 2:50 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:50 a.m., you : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 장사할생각이없나바..ㅜㅠ
July 19, 2019, 2:50 a.m., you : 오랫동안 여는 술집없나ㅠ
July 19, 2019, 2:50 a.m., you : 담에는 예원말구 포차가자
July 19, 2019, 2:50 a.m., you : 먹을게없오 ㅜㅠ
July 19, 2019, 2:52 a.m., 아기공주민희❤ : 야스오
July 19, 2019, 2:52 a.m., 아기공주민희❤ : 언제갑니까
July 19, 2019, 2:52 a.m., 아기공주민희❤ : 술술술
July 19, 2019, 2:52 a.m., 아기공주민희❤ : Emoticons
July 19, 2019, 2:53 a.m., you : ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:53 a.m., you : 낼마시고싶다
July 19, 2019, 2:53 a.m., you : 🍺
July 19, 2019, 2:53 a.m., 아기공주민희❤ : 낼 고?
July 19, 2019, 2:54 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:54 a.m., you : 낼먹구 디져서 토욜에 못일어나면
July 19, 2019, 2:54 a.m., you : 여친분께서 ㄱㅈㄹ하겠지
July 19, 2019, 2:54 a.m., you : 선물대신에 빅엿선사네
July 19, 2019, 2:54 a.m., you : ㅎㅎㅎㅎㅎㅎㅎ
July 19, 2019, 2:55 a.m., you : Emoticons
July 19, 2019, 2:55 a.m., 아기공주민희❤ : 아 맞네
July 19, 2019, 2:55 a.m., 아기공주민희❤ : 안뒤질만큼?
July 19, 2019, 2:55 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 2:55 a.m., you : 난 가능
July 19, 2019, 2:55 a.m., 아기공주민희❤ : 그런거 없쥬
July 19, 2019, 2:55 a.m., you : 난 죽지않아
July 19, 2019, 2:55 a.m., 아기공주민희❤ : 나도 쌉가능이죠
July 19, 2019, 2:55 a.m., you : ㅎㅎㅎㅎㅎㅎ
July 19, 2019, 2:55 a.m., 아기공주민희❤ : 지금도 살아잇습니다
July 19, 2019, 2:55 a.m., you : 약간 죽은거같은데
July 19, 2019, 2:55 a.m., you : 제정신 아니지
July 19, 2019, 2:57 a.m., 아기공주민희❤ : 노우~~
July 19, 2019, 2:57 a.m., 아기공주민희❤ : 암파인땡큐앤유?
July 19, 2019, 3:00 a.m., you : 와 근데 생각해보니까 이틀연속이네
July 19, 2019, 3:00 a.m., you : 안힘드러..?ㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 3:03 a.m., 아기공주민희❤ : 삼일연속입니다
July 19, 2019, 3:03 a.m., you : ㅁㅊ 그와중엨ㅋㅋㅋㅋ
July 19, 2019, 3:03 a.m., 아기공주민희❤ : 하으니언니랑 단탄갓엇쥬
July 19, 2019, 3:03 a.m., you : 아 맞네
July 19, 2019, 3:03 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 19, 2019, 3:03 a.m., you : 하은이도 대단해
July 19, 2019, 3:03 a.m., 아기공주민희❤ : 대단한사람입니다
July 19, 2019, 3:03 a.m., 아기공주민희❤ : 인즈엉
